search_name,search_query,description,owner,creator,created,modified,is_scheduled,cron_schedule,next_scheduled_time,is_alert,alert_type,alert_condition,app,disabled
Addon Metadata - Migrate AWS Accounts,| listawsaccounts | collect `aws-account-index`,,,,,,0,,,False,always,,,0
Addon Metadata - Summarize AWS Inputs,| listawsinputs | collect `aws-input-index`,,,,,,1,0 * * * *,,False,always,,,1
AutoFocus - Retrieve Tag Metadata,| panautofocustags,,,,,,0,0 0 * * *,,False,always,,,1
AWS Bill - Current Month Cost until Now,"| savedsearch ""AWS Bill - Monthly Latest Snapshot"" | search RecordType=StatementTotal | eval date_month=strftime(_time, ""%Y-%m"") | eval current_month=strftime(now(), ""%Y-%m"") | where date_month=current_month | stats sum(TotalCost) as TotalCost, first(CurrencyCode) as CurrencyCode",,,,,,0,,,False,always,,,0
AWS Bill - Current Month Cost until Now by Linked Account,"| savedsearch ""AWS Bill - Monthly Latest Snapshot"" | search RecordType=AccountTotal | eval date_month=strftime(_time, ""%Y-%m"") | eval current_month=strftime(now(), ""%Y-%m"") | where date_month=current_month | stats sum(TotalCost) as TotalCost, first(CurrencyCode) as CurrencyCode by LinkedAccount",,,,,,0,,,False,always,,,0
AWS Bill - Current Month Cost until Now by Service,"| savedsearch ""AWS Bill - Monthly Latest Snapshot"" | search RecordType=LinkedLineItem | eval date_month=strftime(_time, ""%Y-%m"") | eval current_month=strftime(now(), ""%Y-%m"") | where date_month=current_month | stats sum(TotalCost) as TotalCost, first(CurrencyCode) as CurrencyCode by ProductName",,,,,,0,,,False,always,,,0
AWS Bill - Daily Cost through Last Month - Blended,"| savedsearch ""AWS Bill - Detailed Cost Latest Snapshot"" | search RecordType=LineItem |   timechart span=1day sum(BlendedCost) as TotalCost",,,,,,0,,,False,always,,,0
AWS Bill - Daily Cost through Last Month - Unblended,"| savedsearch ""AWS Bill - Detailed Cost Latest Snapshot"" | search RecordType=LineItem |   timechart span=1day sum(UnBlendedCost) as TotalCost",,,,,,0,,,False,always,,,0
AWS Bill - Daily Cost through Last Month by Linked Account - Blended,"| savedsearch ""AWS Bill - Detailed Cost Latest Snapshot"" | search RecordType=LineItem |   timechart span=1day sum(BlendedCost) as TotalCost by LinkedAccount limit=20",,,,,,0,,,False,always,,,0
AWS Bill - Daily Cost through Last Month by Linked Account - Unblended,"| savedsearch ""AWS Bill - Detailed Cost Latest Snapshot"" | search RecordType=LineItem |   timechart span=1day sum(UnBlendedCost) as TotalCost by LinkedAccount limit=20",,,,,,0,,,False,always,,,0
